,popularity,vote_count,id_x,adult,original_language,title,vote_average,overview,MPAA,year,month,studio,production_budget,domestic_gross,worldwide_gross,tconst,primary_title,original_title,start_year,runtime_minutes,genres,avg_rating_imdb,num_votes_imdb,actors,directors,producers,editors,writers
48,11.391,823,23172,False,en,the spy next door,5.7,"Former CIA spy Bob Ho takes on his toughest assignment to date: looking after his girlfriend's three kids, who haven't exactly warmed to their mom's beau. And when one of the youngsters accidentally downloads a top-secret formula, Bob's longtime nemesis, a Russian terrorist, pays a visit to the family.",PG,2010,01,LGF,"$28,000,000","$24,307,106","$46,752,858",tt1273678,the spy next door,The Spy Next Door,2010,94.0,"Action,Comedy,Family",5.5,36767,"Jackie Chan,Madeline Carroll,Amber Valletta,Billy Ray Cyrus",Brian Levant,Robert Simonds,,"Jonathan Bernstein,James Greer,Gregory Poirier"
49,19.522,1736,23437,False,en,a nightmare on elm street,5.5,The film that brings back horror icon Freddy Krueger as a darker and more sinister character than ever before. While Freddy is on the prowl a group of teenagers being stalked soon learn they all have a common factor making them targets for this twisted killer.,R,2010,04,,"$35,000,000","$63,075,011","$117,729,621",tt1179056,a nightmare on elm street,A Nightmare on Elm Street,2010,95.0,"Crime,Drama,Horror",5.2,85497,"Kyle Gallner,Rooney Mara,Jackie Earle Haley,Katie Cassidy",Samuel Bayer,"Michael Bay,Andrew Form",,"Eric Heisserer,Wesley Strick,Wes Craven"
50,19.083,8660,23483,False,en,kick-ass,7.1,"Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a super-hero, even though he has no powers, training or meaningful reason to do so.",R,2010,03,LGF,"$28,000,000","$48,071,303","$97,531,134",tt1250777,kick-ass,Kick-Ass,2010,117.0,"Action,Comedy",7.6,497363,"Aaron Taylor-Johnson,Chloë Grace Moretz,Nicolas Cage,Garrett M. Brown",Matthew Vaughn,"Adam Bohling,Tarquin Pack",,"Jane Goldman,Mark Millar,John Romita Jr."
51,13.784,759,23514,False,en,the rum diary,5.8,"Tired of the noise and madness of New York and the crushing conventions of late Eisenhower-era America, itinerant journalist Paul Kemp travels to the pristine island of Puerto Rico to write for a local San Juan newspaper run by the downtrodden editor Lotterman. Adopting the rum-soaked lifestyle of the late ‘50s version of Hemingway’s 'The Lost Generation', Paul soon becomes entangled with a very attractive American woman and her fiancée, a businessman involved in shady property development deals.  It is within this world that Kemp ultimately discovers his true voice as a writer and integrity as a man.",R,2011,10,FD,"$45,000,000","$13,109,815","$21,544,732",tt0376136,the rum diary,The Rum Diary,2011,119.0,"Comedy,Drama",6.2,94787,"Aaron Eckhart,Johnny Depp,Giovanni Ribisi,Michael Rispoli",Bruce Robinson,"Graham King,Tim Headington,Robert Kravis,Christi Dembrowski",,Hunter S. Thompson
52,20.41,3233,23629,False,en,sucker punch,6.1,"A young girl is institutionalized by her abusive stepfather. Retreating to an alternative reality as a coping strategy, she envisions a plan which will help her escape from the mental facility.",PG-13,2011,03,WB,"$75,000,000","$36,392,502","$89,758,389",tt0978764,sucker punch,Sucker Punch,2011,110.0,"Action,Adventure,Fantasy",6.1,218371,"Emily Browning,Jena Malone,Abbie Cornish,Vanessa Hudgens",Zack Snyder,Deborah Snyder,,Steve Shibuya
53,17.57,2216,23631,False,en,machete,6.3,"After being set-up and betrayed by the man who hired him to assassinate a Texas Senator, an ex-Federale launches a brutal rampage of revenge against his former boss.",R,2010,09,Fox,"$12,500,000","$26,593,646","$46,370,970",tt0985694,machete,Machete,2010,105.0,"Action,Crime,Thriller",6.6,182320,"Danny Trejo,Jessica Alba,Robert De Niro,Michelle Rodriguez","Robert Rodriguez,Ethan Maniquis","Elizabeth Avellan,Rick Schwartz",,Álvaro Rodríguez
54,11.053,988,23742,False,en,cop out,5.5,"Detectives Jimmy and Paul, despite nine years as partners, can still sometimes seem like polar opposites—especially when Paul's unpredictable antics get them suspended without pay. Already strapped for cash and trying to pay for his daughter's wedding, Jimmy decides to sell a rare baseball card that's worth tens of thousands. Unfortunately, when the collector's shop is robbed and the card vanishes with the crook, Paul and Jimmy end up going rogue, tracking down the card and the drug ring behind its theft, all on their own time and without any backup—except for each other.",R,2010,02,WB,"$37,000,000","$44,875,481","$55,909,910",tt1385867,cop out,Cop Out,2010,107.0,"Action,Comedy,Crime",5.6,81656,"Bruce Willis,Tracy Morgan,Juan Carlos Hernández,Cory Fernandez",Kevin Smith,"Polly Johnsen,Marc Platt,Michael Tadross",,"Robb Cullen,Mark Cullen"
55,10.574,863,23759,False,en,centurion,6.2,"Britain, A.D. 117. Quintus Dias, the sole survivor of a Pictish raid on a Roman frontier fort, marches north with General Virilus' legendary Ninth Legion, under orders to wipe the Picts from the face of the Earth and destroy their leader, Gorlacon.",R,2010,02,Magn.,"$15,000,000","$123,570","$7,885,048",tt1020558,centurion,Centurion,2010,97.0,"Action,Adventure,Drama",6.4,74085,"Olga Kurylenko,Michael Fassbender,Dominic West,Andreas Wisniewski",Neil Marshall,"Robert Jones,Christian Colson",Chris Gill,
56,13.857,535,23830,False,en,last night,6.1,"The story follows a married couple, apart for a night while the husband takes a business trip with a colleague to whom he's attracted. While he's resisting temptation, his wife encounters her past love.",R,2010,05,,,,,tt1294688,last night,Last Night,2010,93.0,"Drama,Romance",6.6,44728,"Sam Worthington,Keira Knightley,Eva Mendes,Guillaume Canet",Massy Tadjedin,"Sidonie Dumas,Nick Wechsler",Susan E. Morse,
57,27.859,6082,24021,False,en,the twilight saga: eclipse,6.1,"Bella once again finds herself surrounded by danger as Seattle is ravaged by a string of mysterious killings and a malicious vampire continues her quest for revenge. In the midst of it all, she is forced to choose between her love for Edward and her friendship with Jacob, knowing that her decision has the potential to ignite the ageless struggle between vampire and werewolf. With her graduation quickly approaching, Bella is confronted with the most important decision of her life.",PG-13,2010,06,Sum.,"$68,000,000","$300,531,751","$706,102,828",tt1325004,the twilight saga: eclipse,The Twilight Saga: Eclipse,2010,124.0,"Adventure,Drama,Fantasy",5.0,211733,"Kristen Stewart,Robert Pattinson,Xavier Samuel,Taylor Lautner",David Slade,"Wyck Godfrey,Karen Rosenfelt",,"Melissa Rosenberg,Stephenie Meyer"
58,34.183,22696,24428,False,en,the avengers,7.7,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",PG-13,2012,04,,"$225,000,000","$623,279,547","$1,517,935,897",tt0848228,the avengers,The Avengers,2012,143.0,"Action,Adventure,Sci-Fi",8.1,1183655,"Chris Evans,Robert Downey Jr.,Jeremy Renner,Scarlett Johansson",Joss Whedon,Kevin Feige,Jeffrey Ford,Zak Penn
59,14.461,1326,25195,False,en,leap year,6.8,"When yet another anniversary passes without a marriage proposal from her boyfriend, Anna decides to take action. Aware of a Celtic tradition that allows women to pop the question on Feb. 29, she plans to follow her lover to Dublin and ask him to marry her. Fate has other plans, however, and Anna winds up on the other side of the Emerald Isle with handsome, but surly, Declan -- an Irishman who may just lead Anna down the road to true love.",PG,2010,01,Uni.,"$19,000,000","$25,918,920","$32,618,920",tt1216492,leap year,Leap Year,2010,100.0,"Comedy,Romance",6.5,86125,"Amy Adams,Matthew Goode,Adam Scott,John Lithgow",Anand Tucker,"Roger Birnbaum,Gary Barber,Chris Bender",,"Deborah Kaplan,Harry Elfont"
60,14.461,1326,25195,False,en,leap year,6.8,"When yet another anniversary passes without a marriage proposal from her boyfriend, Anna decides to take action. Aware of a Celtic tradition that allows women to pop the question on Feb. 29, she plans to follow her lover to Dublin and ask him to marry her. Fate has other plans, however, and Anna winds up on the other side of the Emerald Isle with handsome, but surly, Declan -- an Irishman who may just lead Anna down the road to true love.",PG,2010,01,Uni.,"$19,000,000","$25,918,920","$32,618,920",tt1537401,leap year,Año bisiesto,2010,94.0,"Drama,Romance",5.9,2211,"Gustavo Sánchez Parra,Mónica Del Carmen,Armando Hernández,Diego Chas",Michael Rowe,"Luis Salinas,Edher Campos",Óscar Figueroa,Lucía Carreras
61,13.157,1790,26388,False,en,buried,6.6,Paul is a U.S. truck driver working in Iraq. After an attack by a group of Iraqis he wakes to find he is buried alive inside a coffin. With only a lighter and a cell phone it's a race against time to escape this claustrophobic death trap.,R,2010,09,LGF,"$1,987,650","$1,044,143","$21,270,290",tt1462758,buried,Buried,2010,95.0,"Drama,Mystery,Thriller",7.0,139426,"Ryan Reynolds,José Luis García Pérez,Robert Paterson,Stephen Tobolowsky",Rodrigo Cortés,"Peter Safran,Adrián Guerra",,Chris Sparling
62,18.47,1291,26389,False,en,from paris with love,6.2,"James Reese has a good job as an ambassador's aid in France, but his real passion is a side gig—working in a minor role in the CIA. He would love to be a full-fledged agent and can't believe his luck when he lands an assignment with Charlie Wax. Trigger-happy Charlie soon has James crying for his desk job, but when he learns that the same guys they're trying to catch are after him, James realises that Charlie may be his only hope of survival.",R,2010,02,LGF,"$52,000,000","$24,077,427","$53,139,168",tt1179034,from paris with love,From Paris with Love,2010,92.0,"Action,Crime,Thriller",6.5,107079,"Kasia Smutniak,Jonathan Rhys Meyers,John Travolta,Richard Durden",Pierre Morel,"Virginie Besson-Silla,India Osborne",,"Adi Hasak,Luc Besson"
63,8.348,137,27004,False,en,ca$h,5.8,"A stroke of good luck turns lethal for Sam Phelan and his wife Leslie when they are faced with a life-changing decision that brings strange and sinister Pyke Kubic to their doorstep. As Pyke leads Sam and Leslie on a tumultuous adventure through the streets of Chicago, each are pulled deeper and deeper into a desperate spiral of deception and violence – all in the name of money.",R,2010,01,,"$7,000,000","$46,488","$46,488",tt1106860,ca$h,Ca$h,2010,108.0,"Crime,Thriller",6.0,8605,"Chris Hemsworth,Sean Bean,Mike Starr,Victoria Profeta",Stephen Milburn Anderson,Naveen A. Chathapuram,Mark Conte,
64,21.366,3534,27022,False,en,the sorcerer's apprentice,6.0,"Balthazar Blake is a master sorcerer in modern-day Manhattan trying to defend the city from his arch-nemesis, Maxim Horvath. Balthazar can't do it alone, so he recruits Dave Stutler, a seemingly average guy who demonstrates hidden potential, as his reluctant protégé. The sorcerer gives his unwilling accomplice a crash course in the art and science of magic, and together, these unlikely partners work to stop the forces of darkness.",PG,2010,07,BV,"$160,000,000","$63,150,991","$217,986,320",tt0963966,the sorcerer's apprentice,The Sorcerer's Apprentice,2010,109.0,"Action,Adventure,Family",6.1,143862,"Teresa Palmer,Alfred Molina,Nicolas Cage,Jay Baruchel",Jon Turteltaub,,,"Carlo Bernard,Doug Miro,Lawrence Konner,Mark Rosenthal,Matt Lopez"
65,65.106,26369,27205,False,en,inception,8.3,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",PG-13,2010,07,WB,"$160,000,000","$292,576,195","$835,524,642",tt1375666,inception,Inception,2010,148.0,"Action,Adventure,Sci-Fi",8.8,1841066,"Ken Watanabe,Leonardo DiCaprio,Ellen Page,Joseph Gordon-Levitt",Christopher Nolan,Emma Thomas,Lee Smith,
66,7.947,189,27569,False,en,extraordinary measures,6.3,"Working-class father John Crowley is finally on the fast track to corporate success when his two young children are diagnosed with Pompe disease—a condition that prevents the body from breaking down sugar. With the support of his wife, John ditches his career and teams with unconventional specialist, Dr. Robert Stonehill to found a bio-tech company and develop a cure in time to save the lives of his children. As Dr. Stonehill works tirelessly to prove the theories that made him the black sheep of the medical community, a powerful bond is forged between the two unlikely allies.",PG,2010,01,CBS,"$31,000,000","$12,482,741","$15,826,984",tt1244659,extraordinary measures,Extraordinary Measures,2010,106.0,Drama,6.5,15673,"Keri Russell,Meredith Droeger,Brendan Fraser,Harrison Ford",Tom Vaughan,"Michael Shamberg,Stacey Sher,Carla Santos Shamberg",,"Robert Nelson Jacobs,Geeta Anand"
67,16.652,1981,27573,False,en,the bounty hunter,5.8,"Milo Boyd is a bounty hunter whose latest gig is rather satisfying, as he finds out that the bail-skipper he must chase down is his own ex-wife, Nicole -- but she has no intention of getting nabbed without a fight. Complicating matters, Nicole's wannabe-boyfriend, Stewart, joins the chase.",PG-13,2010,03,Sony,"$45,000,000","$67,061,228","$135,808,837",tt1038919,the bounty hunter,The Bounty Hunter,2010,110.0,"Action,Comedy,Romance",5.6,112444,"Jennifer Aniston,Gerard Butler,Gio Perez,Joel Marsh Garland",Andy Tennant,Neal H. Moritz,Troy Takaki,Sarah Thorp
68,16.652,1981,27573,False,en,the bounty hunter,5.8,"Milo Boyd is a bounty hunter whose latest gig is rather satisfying, as he finds out that the bail-skipper he must chase down is his own ex-wife, Nicole -- but she has no intention of getting nabbed without a fight. Complicating matters, Nicole's wannabe-boyfriend, Stewart, joins the chase.",PG-13,2010,03,Sony,"$45,000,000","$67,061,228","$135,808,837",tt1472211,the bounty hunter,The Bounty Hunter,2010,,,6.3,29,"Shivani Ghai,Raza Jaffrey,Addison LeMay","Sunandan Walia,Yugesh Walia",Guy J. Louthan,Tim Murrell,Martin Smith
