,popularity,vote_count,id_x,adult,original_language,title,vote_average,overview,MPAA,year,month,studio,production_budget,domestic_gross,worldwide_gross,tconst,primary_title,original_title,start_year,runtime_minutes,genres,avg_rating_imdb,num_votes_imdb,actors,directors,producers,editors,writers,primary_genre,secondary_genre,new_genre,worldwide_gross_z,domestic_gross_z
0,31.998,2653,189,False,en,sin city: a dame to kill for,6.3,Some of Sin City's most hard-boiled citizens cross paths with a few of its more reviled inhabitants.,R,2014,08,,65.0,13.76,40.65,tt0458481,sin city: a dame to kill for,Sin City: A Dame to Kill For,2014,102.0,"Crime,Thriller",6.5,140666,"Josh Brolin,Mickey Rourke,Jessica Alba,Joseph Gordon-Levitt","Frank Miller,Robert Rodriguez","Mark C. Manuel,Sergei Bespalov,Aaron Kaufman,Stephen L'Heureux",,,Crime,Thriller,Crime,-0.5375503494397407,-0.6417792642004806
2,24.337,10020,1865,False,en,pirates of the caribbean: on stranger tides,6.5,"Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.",PG-13,2011,05,BV,410.6,241.06,1045.66,tt1298650,pirates of the caribbean: on stranger tides,Pirates of the Caribbean: On Stranger Tides,2011,136.0,"Action,Adventure,Fantasy",6.6,447624,"Johnny Depp,Geoffrey Rush,Ian McShane,Penélope Cruz",Rob Marshall,,,"Stuart Beattie,Ted Elliott,Terry Rossio,Tim Powers,Jay Wolpert",Action,Adventure,Action,3.910361103005499,2.165478372048974
5,13.159,1249,7978,False,en,the wolfman,5.8,"Lawrence Talbot, an American man on a visit to Victorian London to make amends with his estranged father, gets bitten by a werewolf and, after a moonlight transformation, leaves him with a savage hunger for flesh.",R,2010,02,Uni.,150.0,62.19,142.63,tt0780653,the wolfman,The Wolfman,2010,103.0,"Drama,Fantasy,Horror",5.8,97873,"Anthony Hopkins,Benicio Del Toro,Emily Blunt,Simon Merrells",Joe Johnston,"Scott Stuber,Sean Daniel",,"Andrew Kevin Walker,David Self,Curt Siodmak",Drama,Fantasy,Drama,-0.08621353694994911,-0.04364689586101259
6,13.231,2092,8967,False,en,the tree of life,6.7,"The impressionistic story of a Texas family in the 1950s. The film follows the life journey of the eldest son, Jack, through the innocence of childhood to his disillusioned adult years as he tries to reconcile a complicated relationship with his father. Jack finds himself a lost soul in the modern world, seeking answers to the origins and meaning of life while questioning the existence of faith.",PG-13,2011,05,FoxS,35.0,13.31,61.72,tt0478304,the tree of life,The Tree of Life,2011,139.0,"Drama,Fantasy",6.8,156266,"Jessica Chastain,Brad Pitt,Sean Penn,Hunter McCracken",Terrence Malick,"Sarah Green,Dede Gardner,Bill Pohlad,Grant Hill",,,Drama,Fantasy,Drama,-0.4443000391910654,-0.647336967395871
9,20.874,3940,10140,False,en,the chronicles of narnia: the voyage of the dawn treader,6.4,"This time around Edmund and Lucy Pevensie, along with their pesky cousin Eustace Scrubb find themselves swallowed into a painting and on to a fantastic Narnian ship headed for the very edges of the world.",PG,2010,12,Fox,155.0,104.39,418.19,tt0980970,the chronicles of narnia: the voyage of the dawn treader,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,113.0,"Adventure,Family,Fantasy",6.3,129663,"Georgie Henley,Ben Barnes,Will Poulter,Skandar Keynes",Michael Apted,Andrew Adamson,,"Christopher Markus,Stephen McFeely,Michael Petroni,C.S. Lewis",Adventure,Family,Adventure,1.1333429648120334,0.4775421593511607
10,26.071,9101,10191,False,en,how to train your dragon,7.8,"As the son of a Viking leader on the cusp of manhood, shy Hiccup Horrendous Haddock III faces a rite of passage: he must kill a dragon to prove his warrior mettle. But after downing a feared dragon, he realizes that he no longer wants to destroy it, and instead befriends the beast – which he names Toothless – much to the chagrin of his warrior father",PG,2010,03,P/DW,165.0,217.58,494.87,tt0892769,how to train your dragon,How to Train Your Dragon,2010,98.0,"Action,Adventure,Animation",8.1,611299,"Gerard Butler,Christopher Mintz-Plasse,Jay Baruchel,Craig Ferguson","Dean DeBlois,Chris Sanders",,,"William Davies,Cressida Cowell,Adam F. Goldberg,Marc Hyman",Action,Adventure,Action,1.472708593187374,1.8754897697650443
11,22.313,4723,10192,False,en,shrek forever after,6.2,"A bored and domesticated Shrek pacts with deal-maker Rumpelstiltskin to get back to feeling like a real ogre again, but when he's duped and sent to a twisted version of Far Far Away—where Rumpelstiltskin is king, ogres are hunted, and he and Fiona have never met—he sets out to restore his world and reclaim his true love.",PG,2010,05,P/DW,165.0,238.74,756.24,tt0892791,shrek forever after,Shrek Forever After,2010,93.0,"Adventure,Animation,Comedy",6.3,167532,"Mike Myers,Cameron Diaz,Eddie Murphy,Antonio Banderas",Mike Mitchell,,,"Ted Elliott,William Steig,Josh Klausner,Darren Lemke,Andrew Adamson",Adventure,Animation,Animation_Adventure,2.629463865598208,2.13682532446385
12,29.569,10351,10193,False,en,toy story 3,7.8,"Woody, Buzz, and the rest of Andy's toys haven't been played with in years. With Andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy.",G,2010,06,BV,200.0,415.0,1068.88,tt0435761,toy story 3,Toy Story 3,2010,103.0,"Adventure,Animation,Comedy",8.3,682218,"Tom Hanks,Joan Cusack,Tim Allen,Ned Beatty",Lee Unkrich,Darla K. Anderson,,"Michael Arndt,Andrew Stanton,John Lasseter",Adventure,Animation,Animation_Adventure,4.013126751034652,4.313715913840571
13,29.008,15056,10195,False,en,thor,6.7,"Against his father Odin's will, The Mighty Thor - a powerful but arrogant warrior god - recklessly reignites an ancient war. Thor is cast down to Earth and forced to live among humans as punishment. Once here, Thor learns what it takes to be a true hero when the most dangerous villain of his world sends the darkest forces of Asgard to invade Earth.",PG-13,2011,04,Par.,150.0,181.03,449.33,tt0800369,thor,Thor,2011,115.0,"Action,Adventure,Fantasy",7.0,683264,"Anthony Hopkins,Tom Hiddleston,Natalie Portman,Chris Hemsworth",Kenneth Branagh,,,"Mark Protosevich,J. Michael Straczynski,Ashley Miller,Zack Stentz,Don Payne",Action,Adventure,Action,1.2711604617813619,1.4240807657838848
14,21.549,2592,10196,False,en,the last airbender,4.6,"The story follows the adventures of Aang, a young successor to a long line of Avatars, who must put his childhood ways aside and stop the Fire Nation from enslaving the Water, Earth and Air nations.",PG,2010,06,Par.,150.0,131.77,319.71,tt0938283,the last airbender,The Last Airbender,2010,103.0,"Action,Adventure,Family",4.1,137734,"Nicola Peltz,Dev Patel,Jackson Rathbone,Noah Ringer",M. Night Shyamalan,"Frank Marshall,Sam Mercer",Conrad Buff IV,,Action,Adventure,Action,0.6974962370811579,0.8156975226618078
15,15.444,1642,10316,False,en,the ides of march,6.7,Dirty tricks stand to soil an ambitious young press spokesman's idealism in a cutthroat presidential campaign where 'victory' is relative.,R,2011,09,Sony,23.0,40.96,77.74,tt1124035,the ides of march,The Ides of March,2011,101.0,"Drama,Thriller",7.1,207417,"George Clooney,Philip Seymour Hoffman,Paul Giamatti,Ryan Gosling",,Brian Oliver,Stephen Mirrione,"Grant Heslov,Beau Willimon",Drama,Thriller,Drama,-0.3733997083802549,-0.3058469821679898
16,18.058,342,10317,False,en,our brand is crisis,5.9,"A feature film based on the documentary ""Our Brand Is Crisis"", which focuses on the use of American political campaign strategies in South America.",R,2015,09,,28.0,7.0,8.59,tt1018765,our brand is crisis,Our Brand Is Crisis,2015,107.0,"Comedy,Drama",6.1,19033,"Sandra Bullock,Anthony Mackie,Billy Bob Thornton,Joaquim de Almeida",David Gordon Green,"George Clooney,Grant Heslov",,"Peter Straughan,Rachel Boynton",Comedy,Drama,Comedy,-0.6794395258314129,-0.7252683166467908
18,34.058,15836,11324,False,en,shutter island,8.1,"World War II soldier-turned-U.S. Marshal Teddy Daniels investigates the disappearance of a patient from a hospital for the criminally insane, but his efforts are compromised by his troubling visions and also by a mysterious doctor.",R,2010,02,Par.,80.0,128.01,299.46,tt1130884,shutter island,Shutter Island,2010,138.0,"Mystery,Thriller",8.1,1005960,"Mark Ruffalo,Ben Kingsley,Leonardo DiCaprio,Emily Mortimer",Martin Scorsese,"Bradley J. Fischer,Arnold Messer,Mike Medavoy",,"Laeta Kalogridis,Dennis Lehane",Mystery,Thriller,Mystery,0.6078750324045715,0.7692598248514338
19,13.972,1390,11439,False,en,the ghost writer,6.8,A writer stumbles upon a long-hidden secret when he agrees to help former British Prime Minister Adam Lang complete his memoirs on a remote island after the politician's assistant drowns in a mysterious accident.,PG-13,2010,02,Sum.,45.0,15.54,65.53,tt1139328,the ghost writer,The Ghost Writer,2010,128.0,"Drama,Mystery,Thriller",7.2,148274,"Pierce Brosnan,Ewan McGregor,Jon Bernthal,Olivia Williams",Roman Polanski,"Robert Benmussa,Alain Sarde",,Robert Harris,Drama,Mystery,Drama,-0.42743797549635953,-0.6197954604498249
21,26.884,10292,12155,False,en,alice in wonderland,6.6,"Alice, an unpretentious and individual 19-year-old, is betrothed to a dunce of an English nobleman. At her engagement party, she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit. Arriving in a strange and surreal place called 'Underland,' she finds herself in a world that resembles the nightmares she had as a child, filled with talking animals, villainous queens and knights, and frumious bandersnatches. Alice realizes that she is there for a reason – to conquer the horrific Jabberwocky and restore the rightful queen to her throne.",PG,2010,03,,200.0,334.19,1025.49,tt1014759,alice in wonderland,Alice in Wonderland,2010,108.0,"Adventure,Family,Fantasy",6.5,358813,"Anne Hathaway,Johnny Depp,Mia Wasikowska,Helena Bonham Carter",Tim Burton,"Jennifer Todd,Suzanne Todd,Joe Roth",,"Linda Woolverton,Lewis Carroll",Adventure,Family,Adventure,3.8210939574091163,3.315675924463896
23,12.668,973,12201,False,en,edge of darkness,6.3,"As a seasoned homicide detective, Thomas Craven has seen the bleakest side of humanity. But nothing prepares him for the toughest investigation of his life: the search for his only daughter Emma's killer. Now, he is on a personal mission to uncover the disturbing secrets surrounding her murder, including corporate corruption, government collusion and Emma's own mysterious life.",R,2010,01,WB,60.0,43.31,82.81,tt1226273,edge of darkness,Edge of Darkness,2010,117.0,"Crime,Drama,Mystery",6.6,84753,"Danny Huston,Bojana Novakovic,Ray Winstone,Mel Gibson",Martin Campbell,"Graham King,Tim Headington",,"Andrew Bovell,William Monahan,Troy Kennedy-Martin",Crime,Drama,Crime,-0.3509612141723391,-0.27682342103650615
29,16.157,1959,14564,False,en,rings,4.9,"Julia becomes worried about her boyfriend, Holt when he explores the dark urban legend of a mysterious videotape said to kill the watcher seven days after viewing. She sacrifices herself to save her boyfriend and in doing so makes a horrifying discovery: there is a ""movie within the movie"" that no one has ever seen before.",PG-13,2017,02,Par.,25.0,27.79,82.92,tt0498381,rings,Rings,2017,102.0,"Drama,Horror,Mystery",4.5,34151,"Vincent D'Onofrio,Matilda Anna Ingrid Lutz,Alex Roe,Johnny Galecki",F. Javier Gutiérrez,Laurie MacDonald,,"Akiva Goldsman,David Loucka,Jacob Estes,Kôji Suzuki",Drama,Horror,Drama,-0.3504743829370589,-0.468502429019751
30,14.922,868,16290,False,en,jackass 3d,6.5,"Jackass 3D is a 3-D film and the third movie of the Jackass series. It follows the same premise as the first two movies, as well as the TV series. It is a compilation of various pranks, stunts and skits. Before the movie begins, a brief introduction is made by Beavis and Butt-head explaining the 3D technology behind the movie. The intro features the cast lining up and then being attacked by various objects in slow-motion. The movie marks the 10th anniversary of the franchise, started in 2000.",R,2010,10,,20.0,117.23,171.69,tt1116184,jackass 3d,Jackass 3D,2010,95.0,"Action,Comedy,Documentary",7.0,53289,,Jeff Tremaine,,,"Ehren McGhehey,Chris Pontius,Jason 'Wee Man' Acuña,Dave England,Preston Lacy",Action,Comedy,Action,0.04239842393408057,0.6361219571929689
31,19.483,3796,17578,False,en,the adventures of tintin,6.8,"Intrepid young reporter, Tintin, and his loyal dog, Snowy, are thrust into a world of high adventure when they discover a ship carrying an explosive secret. As Tintin is drawn into a centuries-old mystery, Ivan Ivanovitch Sakharine suspects him of stealing a priceless treasure. Tintin and Snowy, with the help of salty, cantankerous Captain Haddock and bumbling detectives, Thompson and Thomson, travel half the world, one step ahead of their enemies, as Tintin endeavors to find the Unicorn, a sunken ship that may hold a vast fortune, but also an ancient curse.",PG,2011,10,Par.,130.0,77.59,373.99,tt0983193,the adventures of tintin,The Adventures of Tintin,2011,107.0,"Action,Adventure,Animation",7.3,202430,"Jamie Bell,Andy Serkis,Simon Pegg,Daniel Craig",Steven Spielberg,Peter Jackson,,"Edgar Wright,Hergé,Steven Moffat,Joe Cornish",Action,Adventure,Action,0.9377253229994351,0.14655005793679476
32,27.875,4382,18823,False,en,clash of the titans,5.8,"Born of a god but raised as a man, Perseus is helpless to save his family from Hades, vengeful god of the underworld. With nothing to lose, Perseus volunteers to lead a dangerous mission to defeat Hades before he can seize power from Zeus and unleash hell on earth. Battling unholy demons and fearsome beasts, Perseus and his warriors will only survive if Perseus accepts his power as a god, defies fate and creates his own destiny.",PG-13,2010,04,,125.0,163.21,493.21,tt0800320,clash of the titans,Clash of the Titans,2010,106.0,"Action,Adventure,Fantasy",5.8,256176,"Ralph Fiennes,Sam Worthington,Liam Neeson,Jason Flemyng",Louis Leterrier,Kevin De La Noy,,"Travis Beacham,Phil Hay,Matt Manfredi,Beverley Cross",Action,Adventure,Action,1.4653618672731452,1.2039957192464221
33,30.486,11435,20352,False,en,despicable me,7.2,"Villainous Gru lives up to his reputation as a despicable, deplorable and downright unlikable guy when he hatches a plan to steal the moon from the sky. But he has a tough time staying on task after three orphans land in his care.",PG,2010,07,Uni.,69.0,251.51,543.46,tt1323594,despicable me,Despicable Me,2010,95.0,"Animation,Comedy,Family",7.7,464511,"Russell Brand,Jason Segel,Steve Carell,Julie Andrews","Pierre Coffin,Chris Renaud",John Cohen,,"Cinco Paul,Ken Daurio,Sergio Pablos",Animation,Comedy,Animation_Comedy,1.687755227026156,2.294540590697486
34,18.847,4170,20504,False,en,the book of eli,6.7,"A post-apocalyptic tale, in which a lone man fights his way across America in order to protect a sacred book that holds the secrets to saving humankind.",R,2010,01,WB,80.0,94.84,158.75,tt1037705,the book of eli,The Book of Eli,2010,118.0,"Action,Adventure,Drama",6.9,271307,"Denzel Washington,Gary Oldman,Mila Kunis,Ray Stevenson","Allen Hughes,Albert Hughes","Joel Silver,Broderick Johnson,Andrew A. Kosove",,Gary Whitta,Action,Adventure,Action,-0.014870632288883766,0.35959534709342955
35,14.812,5072,20526,False,en,tron: legacy,6.4,"Sam Flynn, the tech-savvy and daring son of Kevin Flynn, investigates his father's disappearance and is pulled into The Grid. With the help of a mysterious program named Quorra, Sam quests to stop evil dictator Clu from crossing into the real world.",PG,2010,12,,200.0,172.06,400.06,tt1104001,tron: legacy,Tron,2010,125.0,"Action,Adventure,Fantasy",6.8,296211,"Olivia Wilde,Jeff Bridges,Bruce Boxleitner,Garrett Hedlund",Joseph Kosinski,,,"Steven Lisberger,Edward Kitsis,Adam Horowitz,Brian Klugman,Lee Sternthal",Action,Adventure,Action,1.053104325760848,1.3132972154224347
36,13.86,879,20533,False,en,jonah hex,4.7,"Gunslinger Jonah Hex (Josh Brolin) is appointed by President Ulysses Grant to track down terrorist Quentin Turnbull (John Malkovich), a former Confederate officer determined on unleashing hell on earth. Jonah not only secures freedom by accepting this task, he also gets revenge on the man who slayed his wife and child. Megan Fox plays a prostitute as well as Jonah Hex's love interst in the film.",PG-13,2010,06,WB,47.0,10.55,11.02,tt1075747,jonah hex,Jonah Hex,2010,81.0,"Action,Drama,Fantasy",4.7,51860,"Josh Brolin,Michael Fassbender,Megan Fox,John Malkovich",Jimmy Hayward,,,"Tony DeZuniga,Mark Neveldine,Brian Taylor,William Farmer,John Albano",Action,Drama,Action,-0.6686849812702225,-0.6814242136609326
37,21.52,3130,20662,False,en,robin hood,6.4,"When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity; romances his widow, Marion; and draws the ire of the town's sheriff and King John's henchman, Godfrey.",PG-13,2010,05,Uni.,210.0,105.49,322.46,tt0955308,robin hood,Robin Hood,2010,140.0,"Action,Adventure,Drama",6.6,239480,"Max von Sydow,Russell Crowe,Cate Blanchett,Matthew Macfadyen",Ridley Scott,Brian Grazer,,"Brian Helgeland,Cyrus Voris,Ethan Reiff",Action,Adventure,Action,0.7096670179631636,0.491127656051004
38,28.178,4850,22538,False,en,scott pilgrim vs. the world,7.4,"Scott Pilgrim is a 22 year old radical Canadian wannabe rockstar who falls in love with an American delivery girl, Ramona Flowers, and must defeat her seven evil exes to be able to date her.",PG-13,2010,08,Uni.,85.0,31.61,48.06,tt0446029,scott pilgrim vs. the world,Scott Pilgrim vs. the World,2010,112.0,"Action,Comedy,Fantasy",7.5,339338,"Anna Kendrick,Mary Elizabeth Winstead,Michael Cera,Kieran Culkin",Edgar Wright,"Nira Park,Marc Platt,Eric Gitter",,"Michael Bacall,Bryan Lee O'Malley",Action,Comedy,Action,-0.504755627135864,-0.4213237041166585
39,23.027,1524,22894,False,en,legion,5.5,"When God loses faith in humankind, he sends his legion of angels to bring on the Apocalypse. Humanity's only hope for survival lies in a group of strangers trapped in an out-of-the-way, desert diner with the Archangel Michael.",R,2010,01,,26.0,40.17,67.65,tt1038686,legion,Legion,2010,100.0,"Action,Fantasy,Horror",5.2,92709,"Paul Bettany,Lucas Black,Dennis Quaid,Charles S. Dutton",Scott Stewart,"David Lancaster,Michel Litvak",,Peter Schink,Action,Fantasy,Action,-0.41805540987095885,-0.31560383888878635
40,14.475,769,22907,False,en,takers,6.2,"A seasoned team of bank robbers, including Gordon Jennings (Idris Elba), John Rahway (Paul Walker), A.J. (Hayden Christensen), and brothers Jake (Michael Ealy) and Jesse Attica (Chris Brown) successfully complete their latest heist and lead a life of luxury while planning their next job. When Ghost (Tip T.I. Harris), a former member of their team, is released from prison he convinces the group to strike an armored car carrying $20 million. As the ""Takers"" carefully plot out their strategy and draw nearer to exacting the grand heist, a reckless police officer (Matt Dillon) inches closer to apprehending the criminals.",PG-13,2010,08,SGem,32.0,57.74,70.59,tt1135084,takers,Takers,2010,107.0,"Action,Crime,Thriller",6.2,53377,"Matt Dillon,Hayden Christensen,Chris Brown,Michael Ealy",John Luessenhop,"Will Packer,Jason Geter",,"Gabriel Casseus,Peter Allen,Avery Duff",Action,Crime,Action,-0.40504373867346927,-0.09860640523765166
41,13.693,3159,22971,False,en,dear john,6.8,"While Sergeant John Tyree is home on two weeks leave from Germany, he meets Savannah after he dives into the ocean to retrieve Savannah's purse that had fallen off a pier. John eventually falls in love with Savannah, who promises to write to him until he returns from overseas.",PG-13,2010,02,SGem,25.0,80.01,142.03,tt0989757,dear john,Dear John,2010,108.0,"Drama,Romance,War",6.3,128657,"Henry Thomas,Richard Jenkins,Amanda Seyfried,Channing Tatum",Lasse Hallström,"Wyck Godfrey,Marty Bowen,Ryan Kavanaugh",,"Nicholas Sparks,Jamie Linden",Drama,Romance,Drama,-0.08886898005147757,0.17643815067645022
42,17.388,1461,22972,False,en,green zone,6.5,"During the U.S.-led occupation of Baghdad in 2003, Chief Warrant Officer Roy Miller and his team of Army inspectors are dispatched to find weapons of mass destruction believed to be stockpiled in the Iraqi desert. Rocketing from one booby-trapped and treacherous site to the next, the men search for deadly chemical agents but stumble instead upon an elaborate cover-up that threatens to invert the purpose of their mission.",R,2010,03,Uni.,100.0,35.5,97.52,tt0947810,green zone,Green Zone,2010,115.0,"Action,Drama,Thriller",6.8,122132,"Greg Kinnear,Matt Damon,Jason Isaacs,Igal Naor",Paul Greengrass,"Tim Bevan,Eric Fellner,Lloyd Levin",,"Brian Helgeland,Rajiv Chandrasekaran",Action,Drama,Action,-0.28585860079986575,-0.3732804476053942
43,14.026,1378,23023,False,en,tooth fairy,5.4,"When minor-league hockey player Derek Thompson -- who has a penchant for knocking out his opponents' teeth every time he plays -- disillusions a fan, he is sentenced to a stint for one week as a bona fide, tutu-clad, real-life tooth fairy. Soon, Derek is inspired to rekindle his youthful dreams.",PG,2010,01,Fox,48.0,60.02,112.61,tt0808510,tooth fairy,Tooth Fairy,2010,101.0,"Comedy,Family,Fantasy",5.0,37939,"Dwayne Johnson,Ashley Judd,Stephen Merchant,Julie Andrews",Michael Lembeck,,,"J.R. Ventimilia,Joshua Sternin,Randi Mayem Singer,Lowell Ganz,Babaloo Mandel",Comedy,Family,Comedy,-0.21907420679642434,-0.07044737571433991
44,15.4,1633,23047,False,en,season of the witch,5.3,"A 14th century Crusader returns with his comrade to a homeland devastated by the Black Plague. The Church commands the two knights to transport a witch to a remote abbey, where monks will perform a ritual in hopes of ending the pestilence.",PG-13,2011,01,Rela.,40.0,24.83,91.13,tt0479997,season of the witch,Season of the Witch,2011,95.0,"Action,Adventure,Fantasy",5.4,85777,"Ron Perlman,Nicolas Cage,Claire Foy,Stephen Campbell Moore",Dominic Sena,"Charles Roven,Alex Gartner",,Bragi F. Schut,Action,Adventure,Action,-0.31413906983114415,-0.505059765593875
45,15.945,1643,23048,False,en,hot tub time machine,6.0,"A malfunctioning time machine at a ski resort takes a man back to 1986 with his two friends and nephew, where they must relive a fateful night and not change anything to make sure the nephew is born.",R,2010,03,MGM,36.0,50.27,65.97,tt1231587,hot tub time machine,Hot Tub Time Machine,2010,101.0,"Comedy,Sci-Fi",6.4,153962,"John Cusack,Rob Corddry,Clark Duke,Craig Robinson",Steve Pink,"Matt Moore,Grace Loh",,"Sean Anders,John Morris,Josh Heald",Comedy,Sci-Fi,Comedy,-0.42549065055523866,-0.1908642782811335
46,25.423,2978,23168,False,en,the town,7.2,"Doug MacRay is a longtime thief, who, smarter than the rest of his crew, is looking for his chance to exit the game. When a bank job leads to the group kidnapping an attractive branch manager, he takes on the role of monitoring her – but their burgeoning relationship threatens to unveil the identities of Doug and his crew to the FBI Agent who is on their case.",R,2010,09,WB,37.0,92.19,152.57,tt0840361,the town,The Town,2010,125.0,"Crime,Drama,Thriller",7.6,322524,"Rebecca Hall,Jon Hamm,Ben Affleck,Jeremy Renner",,"Basil Iwanyk,Graham King",,"Peter Craig,Aaron Stockard,Chuck Hogan",Crime,Drama,Crime,-0.0422216962346272,0.3268666504983523
47,14.452,2524,23169,False,en,remember me,7.1,"Still reeling from a heartbreaking family event and his parents' subsequent divorce, Tyler Hawkins discovers a fresh lease on life when he meets Ally Craig, a gregarious beauty who witnessed her mother's death. But as the couple draws closer, the fallout from their separate tragedies jeopardizes their love.",PG-13,2010,03,Sum.,16.0,19.07,56.51,tt1403981,remember me,Remember Me,2010,113.0,"Drama,Romance",7.1,129443,"Robert Pattinson,Emilie de Ravin,Caitlyn Rund,Moisés Acevedo",Allen Coulter,"Trevor Engelson,Nick Osborne",,Will Fetters,Drama,Romance,Drama,-0.4673581367893378,-0.576198366494873
48,11.391,823,23172,False,en,the spy next door,5.7,"Former CIA spy Bob Ho takes on his toughest assignment to date: looking after his girlfriend's three kids, who haven't exactly warmed to their mom's beau. And when one of the youngsters accidentally downloads a top-secret formula, Bob's longtime nemesis, a Russian terrorist, pays a visit to the family.",PG,2010,01,LGF,28.0,24.31,46.75,tt1273678,the spy next door,The Spy Next Door,2010,94.0,"Action,Comedy,Family",5.5,36767,"Jackie Chan,Madeline Carroll,Amber Valletta,Billy Ray Cyrus",Brian Levant,Robert Simonds,,"Jonathan Bernstein,James Greer,Gregory Poirier",Action,Comedy,Action,-0.5105533445742011,-0.5114820003974372
49,19.522,1736,23437,False,en,a nightmare on elm street,5.5,The film that brings back horror icon Freddy Krueger as a darker and more sinister character than ever before. While Freddy is on the prowl a group of teenagers being stalked soon learn they all have a common factor making them targets for this twisted killer.,R,2010,04,,35.0,63.08,117.73,tt1179056,a nightmare on elm street,A Nightmare on Elm Street,2010,95.0,"Crime,Drama,Horror",5.2,85497,"Kyle Gallner,Rooney Mara,Jackie Earle Haley,Katie Cassidy",Samuel Bayer,"Michael Bay,Andrew Form",,"Eric Heisserer,Wesley Strick,Wes Craven",Crime,Drama,Crime,-0.19641442566338124,-0.03265499398568476
50,19.083,8660,23483,False,en,kick-ass,7.1,"Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a super-hero, even though he has no powers, training or meaningful reason to do so.",R,2010,03,LGF,28.0,48.07,97.53,tt1250777,kick-ass,Kick-Ass,2010,117.0,"Action,Comedy",7.6,497363,"Aaron Taylor-Johnson,Chloë Grace Moretz,Nicolas Cage,Garrett M. Brown",Matthew Vaughn,"Adam Bohling,Tarquin Pack",,"Jane Goldman,Mark Millar,John Romita Jr.",Action,Comedy,Action,-0.2858143434148403,-0.2180352716808203
51,13.784,759,23514,False,en,the rum diary,5.8,"Tired of the noise and madness of New York and the crushing conventions of late Eisenhower-era America, itinerant journalist Paul Kemp travels to the pristine island of Puerto Rico to write for a local San Juan newspaper run by the downtrodden editor Lotterman. Adopting the rum-soaked lifestyle of the late ‘50s version of Hemingway’s 'The Lost Generation', Paul soon becomes entangled with a very attractive American woman and her fiancée, a businessman involved in shady property development deals.  It is within this world that Kemp ultimately discovers his true voice as a writer and integrity as a man.",R,2011,10,FD,45.0,13.11,21.54,tt0376136,the rum diary,The Rum Diary,2011,119.0,"Comedy,Drama",6.2,94787,"Aaron Eckhart,Johnny Depp,Giovanni Ribisi,Michael Rispoli",Bruce Robinson,"Graham King,Tim Headington,Robert Kravis,Christi Dembrowski",,Hunter S. Thompson,Comedy,Drama,Comedy,-0.622126212223423,-0.6498070577049335
52,20.41,3233,23629,False,en,sucker punch,6.1,"A young girl is institutionalized by her abusive stepfather. Retreating to an alternative reality as a coping strategy, she envisions a plan which will help her escape from the mental facility.",PG-13,2011,03,WB,75.0,36.39,89.76,tt0978764,sucker punch,Sucker Punch,2011,110.0,"Action,Adventure,Fantasy",6.1,218371,"Emily Browning,Jena Malone,Abbie Cornish,Vanessa Hudgens",Zack Snyder,Deborah Snyder,,Steve Shibuya,Action,Adventure,Action,-0.3202023315796341,-0.36228854573006636
53,17.57,2216,23631,False,en,machete,6.3,"After being set-up and betrayed by the man who hired him to assassinate a Texas Senator, an ex-Federale launches a brutal rampage of revenge against his former boss.",R,2010,09,Fox,12.5,26.59,46.37,tt0985694,machete,Machete,2010,105.0,"Action,Crime,Thriller",6.6,182320,"Danny Trejo,Jessica Alba,Robert De Niro,Michelle Rodriguez","Robert Rodriguez,Ethan Maniquis","Elizabeth Avellan,Rick Schwartz",,Álvaro Rodríguez,Action,Crime,Action,-0.5122351252051691,-0.4833229708741255
54,11.053,988,23742,False,en,cop out,5.5,"Detectives Jimmy and Paul, despite nine years as partners, can still sometimes seem like polar opposites—especially when Paul's unpredictable antics get them suspended without pay. Already strapped for cash and trying to pay for his daughter's wedding, Jimmy decides to sell a rare baseball card that's worth tens of thousands. Unfortunately, when the collector's shop is robbed and the card vanishes with the crook, Paul and Jimmy end up going rogue, tracking down the card and the drug ring behind its theft, all on their own time and without any backup—except for each other.",R,2010,02,WB,37.0,44.88,55.91,tt1385867,cop out,Cop Out,2010,107.0,"Action,Comedy,Crime",5.6,81656,"Bruce Willis,Tracy Morgan,Juan Carlos Hernández,Cory Fernandez",Kevin Smith,"Polly Johnsen,Marc Platt,Michael Tadross",,"Robb Cullen,Mark Cullen",Action,Comedy,Action,-0.4700135798908663,-0.25743321211036607
