,popularity,vote_count,id_x,adult,original_language,title,vote_average,overview,MPAA,year,month,studio,production_budget,domestic_gross,worldwide_gross,tconst,primary_title,original_title,start_year,runtime_minutes,genres,avg_rating_imdb,num_votes_imdb,actors,directors,producers,editors,writers,primary_genre,secondary_genre,new_genre,worldwide_gross_z,domestic_gross_z
1041,9.987,574,134597,False,en,the collection,6.1,"Arkin escapes with his life from the vicious grips of ""The Collector"" during an entrapment party where he adds beautiful Elena to his ""Collection."" Instead of recovering from the trauma, Arkin is suddenly abducted from the hospital by mercenaries hired by Elena's wealthy father. Arkin is blackmailed to team up with the mercenaries and track down The Collector's booby trapped warehouse and save Elena.",R,2012,09,LD,10.0,6.81,8.89,tt1748227,the collection,The Collection,2012,82.0,"Action,Horror,Thriller",6.1,42256,"Christopher McDonald,Josh Stewart,Emma Fitzpatrick,Randall Archer",Marcus Dunstan,"Mickey Liddell,Brett Forbes,Julie Richardson,Jennifer Monroe",,Patrick Melton,Action,Horror,Action,-0.6781118042806487,-0.7276149024404001
1043,29.59,15745,135397,False,en,jurassic world,6.6,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",PG-13,2015,06,Uni.,215.0,652.27,1648.85,tt0369610,jurassic world,Jurassic World,2015,124.0,"Action,Adventure,Sci-Fi",7.0,539338,"Chris Pratt,Bryce Dallas Howard,Ty Simpkins,Judy Greer",Colin Trevorrow,Patrick Crowley,,"Rick Jaffa,Amanda Silver,Derek Connolly,Michael Crichton",Action,Adventure,Action,6.5799223103571105,7.2441075519967875
1046,16.397,2782,136400,False,en,2 guns,6.5,A DEA agent and an undercover Naval Intelligence officer who have been tasked with investigating one another find they have been set up by the mob -- the very organization the two men believe they have been stealing money from.,R,2013,08,Uni.,61.0,75.61,132.49,tt1272878,2 guns,2 Guns,2013,109.0,"Action,Comedy,Crime",6.7,182025,"Denzel Washington,Paula Patton,Mark Wahlberg,Bill Paxton",Baltasar Kormákur,"George Furla,Randall Emmett,Andrew Cosby",,"Blake Masters,Steven Grant",Action,Comedy,Action,-0.13109052536578045,0.12209616387707664
1047,20.811,2791,136795,False,en,the heat,6.6,"Uptight and straight-laced, FBI Special Agent Sarah Ashburn is a methodical investigator with a reputation for excellence--and hyper-arrogance. Shannon Mullins, one of Boston P.D.'s ""finest,"" is foul-mouthed and has a very short fuse, and uses her gut instinct and street smarts to catch the most elusive criminals. Neither has ever had a partner, or a friend for that matter. When these two wildly incompatible law officers join forces to bring down a ruthless drug lord, they become the last thing anyone expected: Buddies.",R,2013,06,Fox,43.0,159.58,229.73,tt2404463,the heat,The Heat,2013,117.0,"Action,Comedy,Crime",6.6,153501,"Sandra Bullock,Demián Bichir,Melissa McCarthy,Michael McDonald",Paul Feig,"Peter Chernin,Jenno Topping",,Katie Dippold,Action,Comedy,Action,0.29926828662193605,1.159163580136939
1048,13.131,2872,136797,False,en,need for speed,6.2,"The film revolves around a local street-racer who partners with a rich and arrogant business associate, only to find himself framed by his colleague and sent to prison. After he gets out, he joins a New York-to-Los Angeles race to get revenge. But when the ex-partner learns of the scheme, he puts a massive bounty on the racer's head, forcing him to run a cross-country gauntlet of illegal racers in all manner of supercharged vehicles.",PG-13,2014,03,BV,66.0,43.57,194.17,tt2369135,need for speed,Need for Speed,2014,132.0,"Action,Crime,Thriller",6.5,154909,"Aaron Paul,Imogen Poots,Dominic Cooper,Kid Cudi",Scott Waugh,"Patrick O'Brien,Mark Sourian",,"John Gatins,George Gatins",Action,Crime,Action,0.1418890254713478,-0.273612303634725
1049,27.534,2454,136799,False,en,trolls,6.7,"Lovable and friendly, the trolls love to play around. But one day, a mysterious giant shows up to end the party. Poppy, the optimistic leader of the Trolls, and her polar opposite, Branch, must embark on an adventure that takes them far beyond the only world they’ve ever known.",PG,2016,10,Fox,125.0,153.71,344.15,tt1679335,trolls,Trolls,2016,92.0,"Adventure,Animation,Comedy",6.5,63295,"Justin Timberlake,Anna Kendrick,Christopher Mintz-Plasse,Zooey Deschanel","Mike Mitchell,Walt Dohrn",,,"Jonathan Aibel,Glenn Berger,Erica Rivinoja,Thomas Dam",Adventure,Animation,Animation_Adventure,0.8056612860834182,1.0866664295659567
1050,29.581,382,136835,False,en,no good deed,5.8,"Terri is a devoted wife and mother of two, living an ideal suburban life in Atlanta when Colin, a charming but dangerous escaped convict, shows up at her door claiming car trouble. Terri offers her phone to help him but soon learns that no good deed goes unpunished as she finds herself fighting for survival when he invades her home and terrorizes her family.",PG-13,2014,09,,13.2,52.54,54.32,tt2011159,no good deed,No Good Deed,2014,84.0,"Action,Crime,Drama",5.6,16045,"Taraji P. Henson,Leslie Bibb,Idris Elba,Kate del Castillo",Sam Miller,"Will Packer,Lee Clay",,Aimee Lagos,Action,Crime,Action,-0.4770505041099168,-0.16282875327327495
1051,14.068,1457,137093,False,en,last vegas,6.4,Three sixty-something friends take a break from their day-to-day lives to throw a bachelor party in Las Vegas for their last remaining single pal.,PG-13,2013,10,CBS,28.0,63.91,112.91,tt1204975,last vegas,Last Vegas,2013,105.0,"Comedy,Drama",6.6,121409,"Kevin Kline,Robert De Niro,Morgan Freeman,Michael Douglas",Jon Turteltaub,"Laurence Mark,Amy Baer,Joseph Drake",,Dan Fogelman,Comedy,Drama,Comedy,-0.2177464852456601,-0.02240411920307569
1052,24.206,2000,137094,False,en,jack ryan: shadow recruit,6.1,"Jack Ryan, as a young covert CIA analyst, uncovers a Russian plot to crash the U.S. economy with a terrorist attack.",PG-13,2014,01,Par.,60.0,50.58,131.38,tt1205537,jack ryan: shadow recruit,Jack Ryan: Shadow Recruit,2014,105.0,"Action,Drama,Thriller",6.2,114913,"Keira Knightley,Chris Pine,Kevin Costner,Kenneth Branagh",,"Mace Neufeld,David Barron,Lorenzo di Bonaventura",,"Adam Cozad,David Koepp,Tom Clancy",Action,Drama,Action,-0.13600309510360822,-0.18703563830208678
1053,23.489,5549,137106,False,en,the lego movie,7.4,"An ordinary Lego mini-figure, mistakenly thought to be the extraordinary MasterBuilder, is recruited to join a quest to stop an evil Lego tyrant from gluing the universe together.",PG,2014,02,WB,60.0,257.78,457.73,tt1490017,the lego movie,The Lego Movie,2014,100.0,"Action,Adventure,Animation",7.8,304179,"Chris Pratt,Will Ferrell,Will Arnett,Elizabeth Banks","Phil Lord,Christopher Miller",,,"Godtfred Kirk Christiansen,Dan Hageman,Kevin Hageman,Ole Kirk Christiansen",Action,Adventure,Action,1.3083366652027608,2.371977921886593
