,movie,year,imdb,metascore,votes,us_grossMillions,timeMin
452,Dog Day Afternoon,1975,8.0,86.0,229242,50.0,125
453,Boyhood,2014,7.9,100.0,329038,25.38,165
454,Walk the Line,2005,7.8,72.0,227963,119.52,136
455,Dogville,2003,8.0,60.0,134074,1.53,178
456,Spartacus,1960,7.9,87.0,120896,30.0,197
457,Hunt for the Wilderpeople,2016,7.9,81.0,102926,5.2,101
458,To Kill a Mockingbird,1962,8.2,88.0,287070,,129
459,Searching,2018,7.6,71.0,127435,26.02,102
460,Toy Story 2,1999,7.9,88.0,511184,245.85,92
461,Captain Phillips,2013,7.8,82.0,409108,107.1,134
462,Traffic,2000,7.6,86.0,192257,124.12,147
463,Sense and Sensibility,1995,7.6,84.0,98631,43.18,136
464,The Birds,1963,7.7,90.0,165732,11.4,119
465,Carlito's Way,1993,7.9,65.0,195072,36.95,144
466,Adaptation.,2002,7.7,83.0,172811,22.25,115
467,I Saw the Devil,2010,7.8,67.0,104621,0.13,144
468,The Naked Gun: From the Files of Police Squad!,1988,7.6,76.0,146584,78.76,85
469,Brazil,1985,7.9,84.0,183350,9.93,132
470,Road to Perdition,2002,7.7,72.0,241116,104.45,117
471,Isle of Dogs,2018,7.9,82.0,130593,32.02,101
472,Stagecoach,1939,7.9,93.0,41738,,96
473,Gattaca,1997,7.8,64.0,274087,12.34,106
474,Monty Python's Life of Brian,1979,8.1,77.0,356581,20.05,94
475,Stalker,1979,8.2,,110187,0.23,162
476,Barton Fink,1991,7.7,69.0,110053,6.15,116
477,Shoplifters,2018,8.0,93.0,54607,3.31,121
478,Miller's Crossing,1990,7.7,66.0,123126,5.08,115
479,Butch Cassidy and the Sundance Kid,1969,8.0,66.0,198252,102.31,110
480,Barry Lyndon,1975,8.1,89.0,143721,,185
481,Gone Baby Gone,2007,7.6,72.0,244144,20.3,114
482,Fried Green Tomatoes,1991,7.7,64.0,64922,82.42,130
483,Kung Fu Hustle,2004,7.7,78.0,123812,17.11,99
484,Planet of the Apes,1968,8.0,79.0,162034,33.4,112
485,The Illusionist,2006,7.6,68.0,349149,39.87,110
486,A Silent Voice: The Movie,2016,8.2,78.0,38685,,130
487,Dark City,1998,7.6,66.0,184162,14.38,100
488,Escape from Alcatraz,1979,7.6,76.0,114855,43.0,112
489,Wild Tales,2014,8.1,77.0,168090,3.11,122
490,Goldfinger,1964,7.7,87.0,167729,51.08,110
491,"Paris, Texas",1984,8.1,78.0,84846,2.18,145
492,Andhadhun,2018,8.3,,62961,1.37,139
493,The Raid: Redemption,2011,7.6,73.0,186013,4.11,101
494,The Boondock Saints,1999,7.8,44.0,223834,0.03,108
495,Billy Elliot,2000,7.7,74.0,122969,22.0,110
496,Annie Hall,1977,8.0,92.0,246940,39.2,93
497,7 Kogustaki Mucize,2019,8.3,,27086,,132
498,The Girl with the Dragon Tattoo,2009,7.8,76.0,205254,10.1,152
499,The Boy in the Striped Pajamas,2008,7.8,55.0,184464,9.03,94
500,National Lampoon's Christmas Vacation,1989,7.6,49.0,147790,71.32,97
501,Sunset Blvd.,1950,8.4,,193801,,110
502,"Blood In, Blood Out",1993,8.0,47.0,28075,4.5,180
503,Mississippi Burning,1988,7.8,65.0,84591,34.6,128
504,The Artist,2011,7.9,89.0,226138,44.67,100
505,Gangs of Wasseypur,2012,8.2,89.0,76642,,321
506,The Remains of the Day,1993,7.8,84.0,63369,22.95,134
507,Gandhi,1982,8.0,79.0,214272,52.77,191
508,Lord of War,2005,7.6,62.0,288531,24.15,122
509,Victoria,2015,7.6,77.0,50021,,138
510,Robin Hood,1973,7.6,57.0,111877,32.06,83
511,Klaus,2019,8.2,65.0,71779,,96
512,Evil Dead II,1987,7.8,69.0,143753,5.92,84
513,In the Mood for Love,2000,8.1,85.0,117585,2.73,98
514,Enemy at the Gates,2001,7.6,53.0,236645,51.4,131
515,Land of Mine,2015,7.8,75.0,33175,0.44,100
516,In the Heat of the Night,1967,7.9,75.0,65186,24.38,110
517,The Lego Movie,2014,7.7,83.0,317839,257.76,100
518,The Nightmare Before Christmas,1993,8.0,82.0,283667,75.08,76
519,The Seventh Seal,1957,8.2,,157361,,96
520,Network,1976,8.1,83.0,140646,,121
521,JFK,1991,8.0,72.0,137417,70.41,189
522,A Bronx Tale,1993,7.8,80.0,124016,17.27,121
523,Manhattan,1979,7.9,83.0,128296,45.7,96
524,Cool Hand Luke,1967,8.1,92.0,157241,16.22,127
525,Midnight Express,1978,7.6,59.0,71068,35.0,121
526,The Conversation,1974,7.8,85.0,94615,4.42,113
527,Before Sunset,2004,8.0,90.0,226160,5.82,80
528,Rise of the Planet of the Apes,2011,7.6,68.0,488724,176.76,105
529,Short Term 12,2013,8.0,82.0,78776,1.01,96
530,For a Few Dollars More,1965,8.3,74.0,223508,15.0,132
531,Eastern Promises,2007,7.6,82.0,222731,17.11,100
532,The Apartment,1960,8.3,94.0,157135,18.6,125
533,Seven Pounds,2008,7.6,36.0,281020,69.95,123
534,The Holy Mountain,1973,7.9,,34953,0.06,114
535,Charade,1963,7.9,83.0,65453,13.47,113
536,Blow-Up,1966,7.6,82.0,54546,,111
537,The Maltese Falcon,1941,8.0,96.0,146018,2.11,100
538,Dawn of the Planet of the Apes,2014,7.6,79.0,404885,208.55,130
539,Porco Rosso,1992,7.7,83.0,72725,,94
540,Metropolis,1927,8.3,98.0,154770,1.24,153
541,Dirty Harry,1971,7.7,90.0,139557,35.9,102
542,The Fall,2006,7.9,64.0,105347,2.28,117
543,Snow White and the Seven Dwarfs,1937,7.6,95.0,175902,184.93,83
544,Serpico,1973,7.7,87.0,105358,29.8,130
545,Battle Royale,2000,7.6,81.0,165482,,114
546,The Ten Commandments,1956,7.8,,61953,93.74,220
547,Clerks,1994,7.7,70.0,208464,3.15,92
548,Let the Right One In,2008,7.9,82.0,201755,2.12,114
549,Doctor Zhivago,1965,8.0,69.0,67791,111.72,197
550,A Fistful of Dollars,1964,8.0,65.0,190341,14.5,99
551,La Haine,1995,8.1,,142710,0.31,98
552,The Last Picture Show,1971,8.0,93.0,40818,29.13,118
553,M,1931,8.3,,137923,0.03,99
554,The Secret World of Arrietty,2010,7.6,80.0,76375,19.2,94
555,Hachi: A Dog's Tale,2009,8.1,,243404,,93
556,Ben-Hur,1959,8.1,90.0,213422,74.7,212
557,Harakiri,1962,8.7,85.0,35577,,133
558,Ordinary People,1980,7.7,86.0,45249,54.8,124
559,Enter the Dragon,1973,7.7,83.0,93634,25.0,102
560,Paths of Glory,1957,8.4,,170684,,88
561,A Separation,2011,8.3,95.0,212323,7.1,123
562,"Synecdoche, New York",2008,7.6,67.0,78638,3.08,124
563,Kramer vs. Kramer,1979,7.8,77.0,128064,106.26,105
564,Ip Man,2008,8.0,59.0,206537,,106
565,The Wrestler,2008,7.9,80.0,285237,26.24,109
566,Amores Perros,2000,8.1,83.0,217860,5.38,154
567,Ran,1985,8.2,96.0,107473,4.14,162
568,Awakenings,1990,7.8,74.0,119563,52.1,121
569,The Man from Earth,2007,7.9,,169399,,87
570,Blood Simple,1984,7.6,81.0,84644,2.15,99
571,Like Stars on Earth,2007,8.4,,159207,1.22,165
572,50/50,2011,7.6,72.0,310663,35.01,100
573,In the Name of the Father,1993,8.1,84.0,151344,25.01,133
574,Naked,1993,7.8,84.0,32909,1.77,132
575,Solaris,1972,8.1,90.0,77178,,167
576,The Bridges of Madison County,1995,7.6,66.0,70494,71.52,135
577,Before Midnight,2013,7.9,94.0,134801,8.11,109
578,Days of Heaven,1978,7.8,93.0,50371,,94
579,October Sky,1999,7.8,71.0,79462,32.48,108
580,Fiddler on the Roof,1971,8.0,67.0,37828,80.5,181
581,Whisper of the Heart,1995,7.9,75.0,47634,,111
582,Sling Blade,1996,8.0,84.0,85327,24.48,135
583,Night of the Living Dead,1968,7.9,89.0,112300,0.09,96
584,Ghost in the Shell,1995,8.0,76.0,124371,0.52,83
585,The Body,2012,7.6,,53428,,108
586,"Crouching Tiger, Hidden Dragon",2000,7.8,94.0,248455,128.08,120
587,All the President's Men,1976,8.0,84.0,98960,70.6,138
588,Perfect Blue,1997,8.0,,52569,0.78,81
589,Sing Street,2016,7.9,79.0,81922,3.24,106
590,How to Train Your Dragon 2,2014,7.8,76.0,296516,177.0,102
591,The Right Stuff,1983,7.8,91.0,54637,21.5,193
592,The Bridge on the River Kwai,1957,8.1,87.0,197235,44.91,161
593,Rushmore,1998,7.7,86.0,164776,17.11,93
594,Roman Holiday,1953,8.0,78.0,123768,,118
595,PK,2014,8.1,,154693,10.62,153
596,On the Waterfront,1954,8.1,91.0,137266,9.6,108
597,Glengarry Glen Ross,1992,7.7,82.0,93189,10.73,100
598,The King of Comedy,1982,7.8,73.0,82827,2.5,109
599,Key Largo,1948,7.8,,36044,,100
600,The Wind Rises,2013,7.8,83.0,68874,5.21,126
601,Batman: Mask of the Phantasm,1993,7.8,,41457,5.62,76
602,The Insider,1999,7.8,84.0,156177,28.97,157
603,The Iron Giant,1999,8.0,85.0,167053,23.16,86
604,Funny Games,1997,7.6,69.0,62070,,108
605,The French Connection,1971,7.7,94.0,106411,15.63,104
606,Bonnie and Clyde,1967,7.8,86.0,99550,,111
607,Ed Wood,1994,7.8,70.0,162348,5.89,127
608,Rio Bravo,1959,8.0,93.0,54242,12.54,141
609,After Hours,1985,7.7,90.0,55874,10.6,97
610,Rebel Without a Cause,1955,7.7,89.0,80948,,111
611,Papillon,1973,8.0,58.0,118554,53.27,151
612,Mother,2009,7.8,79.0,47785,0.55,129
613,The Last King of Scotland,2006,7.7,74.0,172002,17.61,123
614,Dangerous Liaisons,1988,7.6,74.0,62779,34.7,119
615,Rebecca,1940,8.1,86.0,118209,4.36,130
616,Paddington 2,2017,7.8,88.0,57115,40.44,103
617,The Great Beauty,2013,7.8,86.0,78061,2.85,141
618,Rope,1948,8.0,73.0,124572,,80
619,8½,1963,8.0,,105515,0.05,138
620,The Raid 2,2014,8.0,71.0,111251,2.63,150
621,Flipped,2010,7.7,45.0,79099,1.75,90
622,21 Grams,2003,7.7,70.0,220388,16.29,124
623,Hotel Rwanda,2004,8.1,79.0,327467,23.53,121
624,Witness for the Prosecution,1957,8.4,,102998,8.18,116
625,All That Jazz,1979,7.9,72.0,26846,37.82,123
626,Double Indemnity,1944,8.3,95.0,138199,5.72,107
627,Nosferatu,1922,7.9,,85999,,94
628,"Planes, Trains & Automobiles",1987,7.6,72.0,118322,49.53,93
629,The Best Offer,2013,7.8,49.0,104295,0.09,131
630,The Man Who Shot Liberty Valance,1962,8.1,94.0,66696,,123
631,Beasts of No Nation,2015,7.7,79.0,70809,0.08,137
632,Cinderella Man,2005,8.0,69.0,172716,61.65,144
633,The Name of the Rose,1986,7.7,54.0,98804,7.15,130
634,Mommy,2014,8.1,74.0,48045,3.49,139
635,High Noon,1952,7.9,89.0,95016,9.45,85
636,Sabrina,1954,7.7,72.0,57195,,113
637,Cabaret,1972,7.8,80.0,46804,42.77,124
638,The Adventures of Robin Hood,1938,7.9,97.0,45948,3.98,102
639,The Last Emperor,1987,7.7,76.0,91037,43.98,163
640,25th Hour,2002,7.6,68.0,167188,13.06,135
641,I Am Sam,2001,7.7,28.0,140569,40.31,132
642,The Wild Bunch,1969,7.9,97.0,75606,12.06,135
643,Anatomy of a Murder,1959,8.0,95.0,57864,11.9,161
644,La Dolce Vita,1960,8.0,95.0,63886,19.52,174
645,What Ever Happened to Baby Jane?,1962,8.1,75.0,48381,4.05,134
646,My Fair Lady,1964,7.8,95.0,84201,72.0,170
647,Giant,1956,7.6,84.0,32996,,201
648,Persona,1966,8.1,86.0,97409,,83
649,All About Eve,1950,8.2,98.0,116680,0.01,138
650,From Here to Eternity,1953,7.6,85.0,42015,30.5,118
651,Dawn of the Dead,1978,7.9,71.0,108551,5.1,127
652,In a Better World,2010,7.6,65.0,37823,1.01,118
653,The Taking of Pelham One Two Three,1974,7.7,68.0,25475,,104
654,Stalag 17,1953,8.0,84.0,50063,,120
655,Chungking Express,1994,8.1,77.0,59127,0.6,102
656,The Man from Nowhere,2010,7.8,,60212,0.01,119
657,Three Colors: Blue,1993,7.9,85.0,85406,1.32,94
658,The Great Dictator,1940,8.4,,195452,0.29,125
659,Baahubali: The Beginning,2015,8.1,,99117,6.74,159
660,The Muppet Movie,1979,7.6,74.0,31576,76.66,95
661,Cold War,2018,7.6,90.0,44820,4.57,89
662,Harold and Maude,1971,7.9,62.0,68895,,91
663,Me and Earl and the Dying Girl,2015,7.7,74.0,119713,6.74,105
664,The Treasure of the Sierra Madre,1948,8.2,98.0,110473,5.01,126
665,This Is England,2006,7.7,86.0,113744,0.33,101
666,Rashomon,1950,8.2,98.0,146521,0.1,88
667,The Longest Day,1962,7.8,75.0,51176,39.1,178
668,Dancer in the Dark,2000,8.0,61.0,99389,4.18,140
669,Badlands,1973,7.8,93.0,63288,,94
670,Finding Neverland,2004,7.7,67.0,195626,51.68,106
671,The Outlaw Josey Wales,1976,7.8,69.0,63607,31.8,135
672,Black Book,2006,7.7,71.0,71188,4.4,145
673,Gully Boy,2019,8.1,65.0,28110,5.57,153
674,When Marnie Was There,2014,7.7,72.0,29659,0.77,103
675,The Third Man,1949,8.1,97.0,154119,0.45,93
676,Kelly's Heroes,1970,7.6,50.0,44024,1.38,144
677,A Little Princess,1995,7.7,83.0,31223,10.02,97
678,Lucky Number Slevin,2006,7.7,53.0,295877,22.49,110
679,Three Colors: Red,1994,8.1,100.0,86730,4.04,99
680,Detachment,2011,7.7,52.0,74167,0.07,98
681,Dial M for Murder,1954,8.2,75.0,151658,0.01,105
682,Breathless,1960,7.9,,70369,0.34,90
683,My Left Foot,1989,7.9,97.0,65616,14.74,103
684,Modern Times,1936,8.5,96.0,208978,0.16,87
685,Short Cuts,1993,7.7,79.0,41335,6.11,188
686,Winter Sleep,2014,8.1,88.0,43400,0.17,196
687,Where Eagles Dare,1968,7.7,63.0,50305,,158
688,"South Park: Bigger, Longer & Uncut",1999,7.7,73.0,189112,52.01,81
689,The Tenant,1976,7.7,,37950,1.92,126
690,The Tale of The Princess Kaguya,2013,8.0,89.0,35427,1.51,137
691,Letters from Iwo Jima,2006,7.9,89.0,151434,13.76,141
692,Dilwale Dulhania Le Jayenge,1995,8.1,,61294,,181
693,Withnail & I,1987,7.7,84.0,39068,1.54,107
694,Paper Moon,1973,8.1,77.0,40864,30.93,102
695,The Night of the Hunter,1955,8.0,99.0,79559,0.65,92
696,Mysterious Skin,2004,7.6,73.0,64623,0.7,105
697,Run Lola Run,1998,7.6,77.0,185123,7.27,80
698,Loving Vincent,2017,7.8,62.0,47458,6.74,94
699,Hero,2002,7.9,85.0,171342,53.71,120
700,Pink Floyd: The Wall,1982,8.1,47.0,74159,22.24,95
701,Freaks,1932,7.9,80.0,40844,,64
702,Being There,1979,8.0,83.0,63738,30.18,130
703,The Straight Story,1999,8.0,86.0,79348,6.2,112
704,Wings of Desire,1987,8.0,79.0,62312,3.33,128
705,Neon Genesis Evangelion: The End of Evangelion,1997,8.1,,35382,,87
706,The Mirror,1975,8.1,,37492,0.18,107
707,Hedwig and the Angry Inch,2001,7.7,85.0,31269,3.03,95
708,Kubo and the Two Strings,2016,7.8,84.0,114086,48.02,101
709,Red River,1948,7.8,,27149,,133
710,Contempt,1963,7.6,,27558,0.04,102
711,Fanny and Alexander,1982,8.1,100.0,55701,4.97,188
712,Mary and Max,2009,8.1,,159936,,92
713,Belle de Jour,1967,7.7,,38755,0.03,100
714,Zulu,1964,7.7,77.0,34902,,138
715,Strangers on a Train,1951,8.0,88.0,120142,7.63,101
716,Fantasia,1940,7.8,96.0,86214,76.41,125
717,It Happened One Night,1934,8.1,87.0,90510,4.36,105
718,The World's Fastest Indian,2005,7.8,68.0,50950,5.13,127
719,Philomena,2013,7.6,77.0,92325,37.71,98
720,Fitzcarraldo,1982,8.1,,30093,,158
721,Patton,1970,7.9,91.0,91913,61.7,172
722,Who's Afraid of Virginia Woolf?,1966,8.0,75.0,67235,,131
723,Talk to Her,2002,7.9,86.0,102179,9.28,112
724,Nebraska,2013,7.7,87.0,110004,17.65,115
725,The Killing,1956,8.0,,78922,,84
726,Uri: The Surgical Strike,2019,8.3,,39986,4.19,138
727,The Thin Man,1934,8.0,,25563,,91
728,The African Queen,1951,7.7,91.0,69736,0.54,105
729,The Secret of NIMH,1982,7.6,76.0,35181,10.14,82
730,Bicycle Thieves,1948,8.3,,139776,0.33,89
731,Paprika,2006,7.7,81.0,67470,0.88,90
732,Breaking the Waves,1996,7.8,76.0,60702,4.04,159
733,Amour,2012,7.9,94.0,90523,6.74,127
734,"Aguirre, the Wrath of God",1972,7.9,,50354,,95
735,Drishyam,2015,8.2,,64179,0.74,163
736,Swades,2004,8.2,,80018,1.22,189
737,Wild Strawberries,1957,8.2,88.0,91689,,91
738,East of Eden,1955,7.9,72.0,39061,,118
739,Zindagi Na Milegi Dobara,2011,8.1,,64600,3.11,155
740,Thank You for Smoking,2005,7.6,71.0,210667,24.79,92
741,The Philadelphia Story,1940,7.9,96.0,61607,,112
742,Dead Man,1995,7.6,62.0,88139,1.04,121
743,The Big Sleep,1946,7.9,,77088,6.54,114
744,Notorious,1946,7.9,100.0,89683,10.46,102
745,Touch of Evil,1958,8.0,99.0,96342,2.24,95
746,On Golden Pond,1981,7.6,68.0,26789,119.29,109
747,The Double Life of Véronique,1991,7.8,86.0,39943,2.0,98
748,The Chaser,2008,7.9,64.0,55503,,125
749,The Manchurian Candidate,1962,7.9,94.0,69858,,126
750,Frankenstein,1931,7.8,91.0,62825,,70
751,Lagaan: Once Upon a Time in India,2001,8.1,84.0,101378,0.07,224
752,The Quiet Man,1952,7.7,,33611,10.55,129
753,Once,2007,7.8,88.0,108617,9.44,86
754,Happiness,1998,7.7,81.0,65056,2.81,134
755,The Little Prince,2015,7.7,70.0,54518,1.34,108
756,Yojimbo,1961,8.2,,106104,,110
757,Lady Vengeance,2005,7.6,75.0,69629,0.21,115
758,A Christmas Story,1983,7.9,77.0,127390,20.61,94
759,K.G.F: Chapter 1,2018,8.2,,30445,,156
760,A Man Called Ove,2015,7.7,70.0,44364,3.36,116
761,City Lights,1931,8.5,99.0,160781,0.02,87
762,Watership Down,1978,7.6,64.0,32807,,91
763,Hamlet,1996,7.7,,35381,4.41,242
764,Mr. Smith Goes to Washington,1939,8.1,73.0,103736,9.6,129
765,The Killing Fields,1984,7.8,76.0,50033,34.7,141
766,The Day of the Jackal,1973,7.8,80.0,36246,16.06,143
767,The Lion in Winter,1968,7.9,,28259,22.28,134
768,La Vie En Rose,2007,7.6,66.0,80967,10.3,140
769,Children of Heaven,1997,8.3,,61328,0.93,89
770,The 400 Blows,1959,8.1,,100728,,99
771,The Man Who Would Be King,1975,7.8,91.0,42864,,129
772,Infernal Affairs,2002,8.0,75.0,115828,0.17,101
773,Leviathan,2014,7.6,92.0,47485,1.09,140
774,The Invisible Man,1933,7.7,87.0,28977,,71
775,Queen,2013,8.2,,58532,1.43,146
776,Sympathy for Mr. Vengeance,2002,7.6,56.0,60476,0.05,129
777,Andrei Rublev,1966,8.1,,44104,0.1,205
778,The Hurricane,1999,7.6,74.0,89660,50.67,146
779,The Day the Earth Stood Still,1951,7.7,,75043,,92
780,Three Colors: White,1994,7.6,88.0,61096,1.46,92
781,The Message,1976,8.2,,42558,,177
782,Eyes Without a Face,1960,7.7,90.0,25799,0.05,90
783,High and Low,1963,8.4,,30089,,143
784,Judgment at Nuremberg,1961,8.2,60.0,66628,,179
785,"Spring, Summer, Fall, Winter... and Spring",2003,8.0,85.0,75061,2.38,103
786,All About My Mother,1999,7.8,87.0,86361,8.26,101
787,Rififi,1955,8.2,97.0,25398,0.06,118
788,The Verdict,1982,7.7,77.0,34567,54.0,129
789,Duck You Sucker,1971,7.6,77.0,28840,0.7,138
790,5 Centimeters Per Second,2007,7.6,,48595,,63
791,Volver,2006,7.6,84.0,92567,12.9,121
792,The Ladykillers,1955,7.7,91.0,25436,,91
793,Bhaag Milkha Bhaag,2013,8.2,,58769,1.63,186
794,Out of the Past,1947,8.0,,31436,,97
795,Ikiru,1952,8.3,,64428,0.06,143
796,Hannah and Her Sisters,1986,7.9,90.0,65216,40.08,107
797,The Grapes of Wrath,1940,8.0,96.0,84216,0.06,129
798,The Discreet Charm of the Bourgeoisie,1972,7.9,93.0,36933,0.2,102
799,Repulsion,1965,7.7,91.0,47228,,105
800,"I, Daniel Blake",2016,7.9,78.0,50808,0.26,100
801,The White Ribbon,2009,7.8,82.0,66886,2.22,144
802,The Kid,1921,8.3,,107665,5.45,68
803,Tokyo Story,1953,8.2,,49535,,136
804,Secrets & Lies,1996,8.0,91.0,35921,13.42,136
805,Perfect Strangers,2016,7.8,,53642,,96
806,The Vanishing,1988,7.7,,32645,,107
807,The Best Years of Our Lives,1946,8.0,93.0,55930,23.65,170
808,The Lunchbox,2013,7.8,76.0,48133,4.23,104
809,The Hustler,1961,8.0,90.0,73597,8.28,134
810,Waking Life,2001,7.8,82.0,59563,2.89,99
811,Good Bye Lenin!,2003,7.7,68.0,134989,4.06,121
812,Dead Man's Shoes,2004,7.6,52.0,48294,0.01,90
813,Open Your Eyes,1997,7.8,,62468,0.37,117
814,Once Were Warriors,1994,7.9,77.0,30737,2.2,102
815,The Diving Bell and the Butterfly,2007,8.0,92.0,101569,5.99,112
816,Anand,1971,8.6,,26939,,122
817,Song of the Sea,2014,8.1,85.0,48660,0.86,93
818,Elite Squad,2007,8.1,33.0,96007,0.01,115
819,All Quiet on the Western Front,1930,8.0,91.0,55974,3.27,152
820,Ninja Scroll,1993,7.9,,33561,,94
821,Loveless,2017,7.6,86.0,27907,0.57,127
822,Rang De Basanti,2006,8.2,,107666,2.2,167
823,The Conformist,1970,8.0,100.0,25721,0.54,113
824,The Station Agent,2003,7.6,81.0,66337,5.74,89
825,The Wave,2008,7.6,,100047,,107
826,Kal ho naa ho,2003,8.0,54.0,61363,1.79,186
827,The 39 Steps,1935,7.6,93.0,49954,,86
828,3-Iron,2004,8.0,72.0,48248,0.24,88
829,A Man for All Seasons,1966,7.7,72.0,30227,28.35,120
830,The Legend of 1900,1998,8.1,58.0,56886,0.26,169
831,Shadow of a Doubt,1943,7.8,94.0,57474,,108
832,Control,2007,7.7,78.0,60372,0.87,122
833,The Hidden Fortress,1958,8.1,,32678,,126
834,Le Samouraï,1967,8.1,,43298,0.04,101
835,Amarcord,1973,7.9,,38448,,123
836,The Cabinet of Dr. Caligari,1920,8.1,,54987,,67
837,Bringing Up Baby,1938,7.9,91.0,53473,,102
838,Gilda,1946,7.7,,26863,,110
839,Invasion of the Body Snatchers,1956,7.7,92.0,43527,,80
840,Delicatessen,1991,7.6,66.0,78718,1.79,99
841,Shine,1996,7.7,87.0,50284,35.81,105
842,The Bandit,1996,8.3,,61180,,128
843,His Girl Friday,1940,7.9,,51763,0.3,92
844,The Motorcycle Diaries,2004,7.8,75.0,94909,16.76,126
845,A Very Long Engagement,2004,7.6,76.0,69981,6.17,133
846,A Prophet,2009,7.9,90.0,91572,2.08,155
847,Udaan,2010,8.2,,41132,0.01,134
848,The Red Shoes,1948,8.1,,29504,10.9,135
849,My Name Is Khan,2010,8.0,50.0,95840,4.02,165
850,Kahaani,2012,8.1,,55717,1.04,122
851,Lupin the 3rd: Castle of Cagliostro,1979,7.7,71.0,25493,,102
852,Sweet Smell of Success,1957,8.1,100.0,26937,,96
853,Lilya 4-Ever,2002,7.8,82.0,41551,0.18,109
854,The Odd Couple,1968,7.7,86.0,30628,44.53,105
855,Talvar,2015,8.2,,29244,0.34,132
856,Bajrangi Bhaijaan,2015,8.0,,69019,8.18,163
857,To Have and Have Not,1944,7.8,,29998,,100
858,Pink,2016,8.1,,36829,1.24,136
859,Underground,1995,8.1,,53849,0.17,167
860,Kagemusha,1980,8.0,84.0,30889,,162
861,The Salesman,2016,7.8,85.0,47897,2.4,124
862,The Broken Circle Breakdown,2012,7.8,70.0,38404,0.18,111
863,Once Upon a Time in Anatolia,2011,7.9,82.0,39398,0.14,157
864,In America,2002,7.7,76.0,39938,15.54,105
865,Arsenic and Old Lace,1944,8.0,,63802,,118
866,Wolf Children,2012,8.1,71.0,36563,,117
867,Sunrise,1927,8.1,,45739,0.54,94
868,The Girl Who Leapt Through Time,2006,7.8,,57920,,98
869,Peeping Tom,1960,7.7,,29728,0.08,101
870,The Lady Vanishes,1938,7.8,,45703,,96
871,Interstate 60: Episodes of the Road,2002,7.7,,29155,,116
872,To Be or Not to Be,1942,8.2,86.0,26563,,99
873,Wait Until Dark,1967,7.8,81.0,26914,17.55,108
874,After the Wedding,2006,7.7,78.0,31061,0.41,120
875,Hera Pheri,2000,8.2,,53801,,156
876,Ayla: The Daughter of War,2017,8.5,,31778,,125
877,The Sea Inside,2004,8.0,74.0,75876,2.09,126
878,Sleuth,1972,8.0,,43837,4.08,138
879,Pierrot le Fou,1965,7.6,,28047,,110
880,The Celebration,1998,8.0,82.0,76058,1.65,105
881,Dil Chahta Hai,2001,8.1,,64770,0.3,183
882,Confessions,2010,7.8,,34539,,106
883,Munna Bhai M.B.B.S.,2003,8.1,,70897,,156
884,Sholay,1975,8.2,,49718,,162
885,Laura,1944,8.0,,41268,4.36,88
886,Badhaai Ho,2018,8.0,,25519,,124
887,The Wages of Fear,1953,8.1,85.0,52345,,131
888,The Bride of Frankenstein,1935,7.8,95.0,41860,4.36,75
889,Night on Earth,1991,7.8,68.0,53591,2.02,129
890,Nights of Cabiria,1957,8.1,,41500,0.75,110
891,Head-On,2004,7.9,78.0,49748,,121
892,Cries & Whispers,1972,8.1,,28745,1.74,91
893,Haider,2014,8.1,,48819,0.9,160
894,Crimes and Misdemeanors,1989,7.9,77.0,53192,18.25,104
895,Throne of Blood,1957,8.1,,43995,,110
896,Cowboy Bebop: The Movie,2001,7.9,61.0,41625,1.0,115
897,The Innocents,1961,7.8,88.0,25651,2.62,100
898,My Father and My Son,2005,8.3,,75330,,112
899,The Experiment,2001,7.7,60.0,89691,0.14,120
900,The Gold Rush,1925,8.2,,96297,5.45,95
901,The General,1926,8.1,,77959,1.03,67
902,A Wednesday,2008,8.1,,71936,,104
903,My Sassy Girl,2001,8.0,,44392,,137
904,About Elly,2009,8.0,87.0,42965,0.11,119
905,Inherit the Wind,1960,8.1,75.0,26389,,128
906,Ivan's Childhood,1962,8.1,,29783,,84
907,La Strada,1954,8.0,,56447,,108
908,Diabolique,1955,8.0,,59941,,117
909,Mustang,2015,7.6,83.0,34174,0.85,97
910,Death Note,2006,7.7,,28043,,126
911,Love Me If You Dare,2003,7.6,45.0,66069,0.55,93
912,The Magdalene Sisters,2002,7.7,83.0,25491,4.89,114
913,The Passion of Joan of Arc,1928,8.1,,45189,0.02,114
914,Persepolis,2007,8.0,90.0,86475,4.45,96
915,The Exterminating Angel,1962,8.1,,28413,,95
916,Hard Boiled,1992,7.8,,45620,,128
917,The Return,2003,8.0,82.0,41028,0.5,110
918,Baahubali 2: The Conclusion,2017,8.2,,71460,20.19,167
919,Dev.D,2009,8.0,,27869,0.01,144
920,Airlift,2016,8.0,,51389,,130
921,Baby,2015,8.0,,51197,,159
922,Down by Law,1986,7.8,75.0,46489,1.44,107
923,The Circus,1928,8.2,90.0,25940,,72
924,Barfi!,2012,8.1,,73247,2.8,151
925,L'Avventura,1960,7.9,,25328,,144
926,Special 26,2013,8.0,,48914,1.08,144
927,Brief Encounter,1945,8.0,92.0,34168,,86
928,Harvey,1950,7.9,,51670,,104
929,The Battle of Algiers,1966,8.1,96.0,50352,0.06,121
930,The Purple Rose of Cairo,1985,7.7,75.0,45784,10.63,82
931,Departures,2008,8.1,68.0,47345,1.5,130
932,Paan Singh Tomar,2012,8.2,,31874,0.04,135
933,"Black Cat, White Cat",1998,8.1,73.0,49566,0.35,127
