,movie,year,imdb,metascore,votes,us_grossMillions,timeMin
102,Star Wars: Episode IV - A New Hope,1977,8.6,90.0,1197025,322.74,121
103,"Three Billboards Outside Ebbing, Missouri",2017,8.2,88.0,404319,54.51,115
104,Raiders of the Lost Ark,1981,8.4,85.0,859440,248.16,115
105,Whiplash,2014,8.5,88.0,683050,13.09,106
106,Almost Famous,2000,7.9,90.0,245700,32.53,122
107,Dazed and Confused,1993,7.6,78.0,159646,7.99,102
108,Good Will Hunting,1997,8.3,70.0,830040,138.43,126
109,Kingsman: The Secret Service,2014,7.7,60.0,575893,128.26,129
110,The Usual Suspects,1995,8.5,77.0,961696,23.34,106
111,Harry Potter and the Prisoner of Azkaban,2004,7.9,82.0,528437,249.36,142
112,Zootopia,2016,8.0,78.0,417164,341.27,108
113,Rogue One: A Star Wars Story,2016,7.8,65.0,534432,532.18,133
114,The Lord of the Rings: The Two Towers,2002,8.7,87.0,1440040,342.55,179
115,Memento,2000,8.4,80.0,1090198,25.54,113
116,Terminator 2: Judgment Day,1991,8.5,75.0,968415,204.84,137
117,Requiem for a Dream,2000,8.3,68.0,743138,3.64,102
118,Star Trek,2009,7.9,82.0,570052,257.73,127
119,The Social Network,2010,7.7,95.0,604186,96.96,120
120,Stand by Me,1986,8.1,75.0,352533,52.29,89
121,American Beauty,1999,8.3,84.0,1042997,130.1,122
122,Deadpool 2,2018,7.7,66.0,455151,324.59,119
123,The Lion King,1994,8.5,88.0,910075,422.78,88
124,Minority Report,2002,7.6,80.0,495505,132.07,145
125,Captain America: Civil War,2016,7.8,75.0,638658,408.08,147
126,There Will Be Blood,2007,8.2,93.0,498254,40.22,158
127,Apocalypto,2006,7.8,68.0,284284,50.87,139
128,Blue Is the Warmest Colour,2013,7.7,88.0,134148,2.2,180
129,A Clockwork Orange,1971,8.3,80.0,735006,6.21,136
130,The Hangover,2009,7.7,73.0,702277,277.32,100
131,The Hateful Eight,2015,7.8,68.0,493653,54.12,168
132,Howl's Moving Castle,2004,8.2,80.0,313909,4.71,119
133,Iron Man,2008,7.9,79.0,915586,318.41,126
134,Braveheart,1995,8.3,68.0,936660,75.6,178
135,Singin' in the Rain,1952,8.3,99.0,211284,8.82,103
136,Room,2015,8.1,86.0,352631,14.68,118
137,The Hobbit: An Unexpected Journey,2012,7.8,58.0,743301,303.0,169
138,Her,2013,8.0,90.0,518208,25.57,126
139,Remember the Titans,2000,7.8,48.0,192988,115.65,113
140,The Terminator,1984,8.0,84.0,778941,38.4,107
141,Do the Right Thing,1989,7.9,93.0,84407,27.55,120
142,Midnight in Paris,2011,7.7,81.0,376511,56.82,94
143,Ghostbusters,1984,7.8,71.0,344660,238.63,105
144,Inside Man,2006,7.6,76.0,329226,88.51,129
145,Marriage Story,2019,8.0,94.0,219606,,137
146,What We Do in the Shadows,2014,7.7,76.0,148034,3.33,86
147,The Curious Case of Benjamin Button,2008,7.8,70.0,572171,127.51,166
148,The Peanut Butter Falcon,2019,7.6,70.0,42908,13.12,97
149,Come and See,1985,8.3,,52098,,142
150,Ex Machina,2014,7.7,78.0,458116,25.44,108
151,Psycho,1960,8.5,97.0,580868,32.0,109
152,Aliens,1986,8.3,84.0,635111,85.16,137
153,Casino Royale,2006,8.0,80.0,566926,167.45,144
154,Blade Runner,1982,8.1,84.0,673028,32.87,117
155,American Psycho,2000,7.6,64.0,467868,15.07,101
156,Full Metal Jacket,1987,8.3,76.0,652782,46.36,116
157,Heat,1995,8.2,76.0,557669,67.44,170
158,One Flew Over the Cuckoo's Nest,1975,8.7,83.0,884742,112.0,133
159,Harry Potter and the Deathly Hallows: Part 1,2010,7.7,65.0,459078,295.98,146
160,Hacksaw Ridge,2016,8.1,71.0,412809,67.21,139
161,Princess Mononoke,1997,8.4,76.0,326418,2.38,134
162,Coco,2017,8.4,81.0,345096,209.73,105
163,The Perks of Being a Wallflower,2012,8.0,67.0,448094,17.74,103
164,Kill Bill: Vol. 1,2003,8.1,69.0,970326,70.1,111
165,"The Good, the Bad and the Ugly",1966,8.8,90.0,666843,6.1,178
166,Tombstone,1993,7.8,50.0,122038,56.51,130
167,12 Angry Men,1957,8.9,96.0,661672,4.36,96
168,Lethal Weapon,1987,7.6,68.0,230920,65.21,109
169,3:10 to Yuma,2007,7.7,76.0,281922,53.61,122
170,The Grand Budapest Hotel,2014,8.1,88.0,681834,59.1,99
171,Edge of Tomorrow,2014,7.9,71.0,581866,100.21,113
172,2001: A Space Odyssey,1968,8.3,84.0,582645,56.95,149
173,Cast Away,2000,7.8,73.0,506310,233.63,143
174,Casino,1995,8.2,73.0,448000,42.44,178
175,Sicario,2015,7.6,82.0,356910,46.89,121
176,Pride & Prejudice,2005,7.8,82.0,244712,38.41,129
177,Eternal Sunshine of the Spotless Mind,2004,8.3,89.0,882403,34.4,108
178,Harry Potter and the Half-Blood Prince,2009,7.6,78.0,453815,301.96,153
179,Reservoir Dogs,1992,8.3,79.0,889862,2.83,99
180,About Time,2013,7.8,55.0,287203,15.32,123
181,The Big Short,2015,7.8,81.0,344541,70.26,130
182,Drive,2011,7.8,78.0,554521,35.06,100
183,Logan,2017,8.1,77.0,621072,226.28,137
184,The Revenant,2015,8.0,76.0,678741,183.64,156
185,Captain America: The Winter Soldier,2014,7.7,70.0,714376,259.77,136
186,Ratatouille,2007,8.0,96.0,620310,206.45,111
187,X-Men: First Class,2011,7.7,65.0,634110,146.41,131
188,The Girl with the Dragon Tattoo,2011,7.8,71.0,408962,102.52,158
189,Willy Wonka & the Chocolate Factory,1971,7.8,67.0,172543,4.0,100
190,The Martian,2015,8.0,80.0,734832,228.43,144
191,Star Wars: Episode VII - The Force Awakens,2015,7.9,80.0,841179,936.66,138
192,American History X,1998,8.5,62.0,1007370,6.72,119
193,Arrival,2016,7.9,81.0,569680,100.55,116
194,Your Name.,2016,8.4,79.0,173130,5.02,106
195,Hot Fuzz,2007,7.8,81.0,450156,23.64,121
